algorithm,run,makespan,idle_time,utilization
a2c,1,19,36,0.3684
a2c,2,19,36,0.3684
a2c,3,19,36,0.3684
a2c,4,19,36,0.3684
a2c,5,19,36,0.3684
a2c,6,19,36,0.3684
a2c,7,19,36,0.3684
a2c,8,19,36,0.3684
a2c,9,19,36,0.3684
a2c,10,19,36,0.3684
a2c,11,19,36,0.3684
a2c,12,19,36,0.3684
a2c,13,19,36,0.3684
a2c,14,19,36,0.3684
a2c,15,19,36,0.3684
a2c,16,19,36,0.3684
a2c,17,19,36,0.3684
a2c,18,19,36,0.3684
a2c,19,19,36,0.3684
a2c,20,19,36,0.3684
a2c,21,19,36,0.3684
a2c,22,19,36,0.3684
a2c,23,19,36,0.3684
a2c,24,19,36,0.3684
a2c,25,19,36,0.3684
a2c,26,19,36,0.3684
a2c,27,19,36,0.3684
a2c,28,19,36,0.3684
a2c,29,19,36,0.3684
a2c,30,19,36,0.3684
fifo,1,19,36,0.3684
fifo,2,19,36,0.3684
fifo,3,19,36,0.3684
fifo,4,19,36,0.3684
fifo,5,19,36,0.3684
fifo,6,19,36,0.3684
fifo,7,19,36,0.3684
fifo,8,19,36,0.3684
fifo,9,19,36,0.3684
fifo,10,19,36,0.3684
fifo,11,19,36,0.3684
fifo,12,19,36,0.3684
fifo,13,19,36,0.3684
fifo,14,19,36,0.3684
fifo,15,19,36,0.3684
fifo,16,19,36,0.3684
fifo,17,19,36,0.3684
fifo,18,19,36,0.3684
fifo,19,19,36,0.3684
fifo,20,19,36,0.3684
fifo,21,19,36,0.3684
fifo,22,19,36,0.3684
fifo,23,19,36,0.3684
fifo,24,19,36,0.3684
fifo,25,19,36,0.3684
fifo,26,19,36,0.3684
fifo,27,19,36,0.3684
fifo,28,19,36,0.3684
fifo,29,19,36,0.3684
fifo,30,19,36,0.3684
spt,1,18,33,0.3889
spt,2,18,33,0.3889
spt,3,18,33,0.3889
spt,4,18,33,0.3889
spt,5,18,33,0.3889
spt,6,18,33,0.3889
spt,7,18,33,0.3889
spt,8,18,33,0.3889
spt,9,18,33,0.3889
spt,10,18,33,0.3889
spt,11,18,33,0.3889
spt,12,18,33,0.3889
spt,13,18,33,0.3889
spt,14,18,33,0.3889
spt,15,18,33,0.3889
spt,16,18,33,0.3889
spt,17,18,33,0.3889
spt,18,18,33,0.3889
spt,19,18,33,0.3889
spt,20,18,33,0.3889
spt,21,18,33,0.3889
spt,22,18,33,0.3889
spt,23,18,33,0.3889
spt,24,18,33,0.3889
spt,25,18,33,0.3889
spt,26,18,33,0.3889
spt,27,18,33,0.3889
spt,28,18,33,0.3889
spt,29,18,33,0.3889
spt,30,18,33,0.3889
lpt,1,14,21,0.5
lpt,2,14,21,0.5
lpt,3,14,21,0.5
lpt,4,14,21,0.5
lpt,5,14,21,0.5
lpt,6,14,21,0.5
lpt,7,14,21,0.5
lpt,8,14,21,0.5
lpt,9,14,21,0.5
lpt,10,14,21,0.5
lpt,11,14,21,0.5
lpt,12,14,21,0.5
lpt,13,14,21,0.5
lpt,14,14,21,0.5
lpt,15,14,21,0.5
lpt,16,14,21,0.5
lpt,17,14,21,0.5
lpt,18,14,21,0.5
lpt,19,14,21,0.5
lpt,20,14,21,0.5
lpt,21,14,21,0.5
lpt,22,14,21,0.5
lpt,23,14,21,0.5
lpt,24,14,21,0.5
lpt,25,14,21,0.5
lpt,26,14,21,0.5
lpt,27,14,21,0.5
lpt,28,14,21,0.5
lpt,29,14,21,0.5
lpt,30,14,21,0.5
edd,1,13,18,0.5385
edd,2,13,18,0.5385
edd,3,13,18,0.5385
edd,4,13,18,0.5385
edd,5,13,18,0.5385
edd,6,13,18,0.5385
edd,7,13,18,0.5385
edd,8,13,18,0.5385
edd,9,13,18,0.5385
edd,10,13,18,0.5385
edd,11,13,18,0.5385
edd,12,13,18,0.5385
edd,13,13,18,0.5385
edd,14,13,18,0.5385
edd,15,13,18,0.5385
edd,16,13,18,0.5385
edd,17,13,18,0.5385
edd,18,13,18,0.5385
edd,19,13,18,0.5385
edd,20,13,18,0.5385
edd,21,13,18,0.5385
edd,22,13,18,0.5385
edd,23,13,18,0.5385
edd,24,13,18,0.5385
edd,25,13,18,0.5385
edd,26,13,18,0.5385
edd,27,13,18,0.5385
edd,28,13,18,0.5385
edd,29,13,18,0.5385
edd,30,13,18,0.5385
random,1,12,15,0.5833
random,2,11,12,0.6364
random,3,16,27,0.4375
random,4,16,27,0.4375
random,5,16,27,0.4375
random,6,12,15,0.5833
random,7,16,27,0.4375
random,8,16,27,0.4375
random,9,14,21,0.5
random,10,12,15,0.5833
random,11,12,15,0.5833
random,12,14,21,0.5
random,13,14,21,0.5
random,14,16,27,0.4375
random,15,11,12,0.6364
random,16,12,15,0.5833
random,17,12,15,0.5833
random,18,14,21,0.5
random,19,12,15,0.5833
random,20,16,27,0.4375
random,21,14,21,0.5
random,22,14,21,0.5
random,23,11,12,0.6364
random,24,11,12,0.6364
random,25,12,15,0.5833
random,26,14,21,0.5
random,27,15,24,0.4667
random,28,16,27,0.4375
random,29,16,27,0.4375
random,30,11,12,0.6364
