run_id,trained_at,instance,algorithm,run,makespan,idle_time,utilization
1,2026-05-26 20:47:08,4x4,a2c,1,19,23,0.6974
1,2026-05-26 20:47:08,4x4,a2c,2,19,23,0.6974
1,2026-05-26 20:47:08,4x4,a2c,3,19,23,0.6974
1,2026-05-26 20:47:08,4x4,a2c,4,20,27,0.6625
1,2026-05-26 20:47:08,4x4,a2c,5,19,23,0.6974
1,2026-05-26 20:47:08,4x4,a2c,6,19,23,0.6974
1,2026-05-26 20:47:08,4x4,a2c,7,19,23,0.6974
1,2026-05-26 20:47:08,4x4,a2c,8,19,23,0.6974
1,2026-05-26 20:47:08,4x4,a2c,9,19,23,0.6974
1,2026-05-26 20:47:08,4x4,a2c,10,19,23,0.6974
1,2026-05-26 20:47:08,4x4,a2c,11,19,23,0.6974
1,2026-05-26 20:47:08,4x4,a2c,12,24,43,0.5521
1,2026-05-26 20:47:08,4x4,a2c,13,19,23,0.6974
1,2026-05-26 20:47:08,4x4,a2c,14,24,43,0.5521
1,2026-05-26 20:47:08,4x4,a2c,15,19,23,0.6974
1,2026-05-26 20:47:08,4x4,a2c,16,19,23,0.6974
1,2026-05-26 20:47:08,4x4,a2c,17,19,23,0.6974
1,2026-05-26 20:47:08,4x4,a2c,18,22,35,0.6023
1,2026-05-26 20:47:08,4x4,a2c,19,24,43,0.5521
1,2026-05-26 20:47:08,4x4,a2c,20,19,23,0.6974
1,2026-05-26 20:47:08,4x4,a2c,21,19,23,0.6974
1,2026-05-26 20:47:08,4x4,a2c,22,19,23,0.6974
1,2026-05-26 20:47:08,4x4,a2c,23,20,27,0.6625
1,2026-05-26 20:47:08,4x4,a2c,24,19,23,0.6974
1,2026-05-26 20:47:08,4x4,a2c,25,30,67,0.4417
1,2026-05-26 20:47:08,4x4,a2c,26,22,35,0.6023
1,2026-05-26 20:47:08,4x4,a2c,27,19,23,0.6974
1,2026-05-26 20:47:08,4x4,a2c,28,19,23,0.6974
1,2026-05-26 20:47:08,4x4,a2c,29,19,23,0.6974
1,2026-05-26 20:47:08,4x4,a2c,30,19,23,0.6974
1,2026-05-26 20:47:08,4x4,a2c_greedy,1,19,23,0.6974
1,2026-05-26 20:47:08,4x4,lpt,1,35,87,0.3786
1,2026-05-26 20:47:08,4x4,edd,1,34,83,0.3897
1,2026-05-26 20:47:08,4x4,spt,1,32,75,0.4141
1,2026-05-26 20:47:08,4x4,fifo,1,47,135,0.2819
1,2026-05-26 20:47:08,4x4,random,1,37,95,0.3581
1,2026-05-26 20:47:08,4x4,random,2,29,63,0.4569
1,2026-05-26 20:47:08,4x4,random,3,38,99,0.3487
1,2026-05-26 20:47:08,4x4,random,4,32,75,0.4141
1,2026-05-26 20:47:08,4x4,random,5,40,107,0.3312
1,2026-05-26 20:47:08,4x4,random,6,24,43,0.5521
1,2026-05-26 20:47:08,4x4,random,7,27,55,0.4907
1,2026-05-26 20:47:08,4x4,random,8,42,115,0.3155
1,2026-05-26 20:47:08,4x4,random,9,19,23,0.6974
1,2026-05-26 20:47:08,4x4,random,10,31,71,0.4274
1,2026-05-26 20:47:08,4x4,random,11,26,51,0.5096
1,2026-05-26 20:47:08,4x4,random,12,24,43,0.5521
1,2026-05-26 20:47:08,4x4,random,13,26,51,0.5096
1,2026-05-26 20:47:08,4x4,random,14,38,99,0.3487
1,2026-05-26 20:47:08,4x4,random,15,19,23,0.6974
1,2026-05-26 20:47:08,4x4,random,16,29,63,0.4569
1,2026-05-26 20:47:08,4x4,random,17,22,35,0.6023
1,2026-05-26 20:47:08,4x4,random,18,26,51,0.5096
1,2026-05-26 20:47:08,4x4,random,19,27,55,0.4907
1,2026-05-26 20:47:08,4x4,random,20,32,75,0.4141
1,2026-05-26 20:47:08,4x4,random,21,23,39,0.5761
1,2026-05-26 20:47:08,4x4,random,22,25,47,0.53
1,2026-05-26 20:47:08,4x4,random,23,26,51,0.5096
1,2026-05-26 20:47:08,4x4,random,24,35,87,0.3786
1,2026-05-26 20:47:08,4x4,random,25,24,43,0.5521
1,2026-05-26 20:47:08,4x4,random,26,36,91,0.3681
1,2026-05-26 20:47:08,4x4,random,27,19,23,0.6974
1,2026-05-26 20:47:08,4x4,random,28,31,71,0.4274
1,2026-05-26 20:47:08,4x4,random,29,33,79,0.4015
1,2026-05-26 20:47:08,4x4,random,30,27,55,0.4907
