run_id,trained_at,instance,algorithm,run,makespan,idle_time,utilization
1,2026-05-19 01:29:22,ft06,a2c,1,91,349,0.3608
1,2026-05-19 01:29:22,ft06,a2c,2,79,277,0.4156
1,2026-05-19 01:29:22,ft06,a2c,3,88,331,0.3731
1,2026-05-19 01:29:22,ft06,a2c,4,83,301,0.3956
1,2026-05-19 01:29:22,ft06,a2c,5,81,289,0.4053
1,2026-05-19 01:29:22,ft06,a2c,6,82,295,0.4004
1,2026-05-19 01:29:22,ft06,a2c,7,80,283,0.4104
1,2026-05-19 01:29:22,ft06,a2c,8,87,325,0.3774
1,2026-05-19 01:29:22,ft06,a2c,9,108,451,0.304
1,2026-05-19 01:29:22,ft06,a2c,10,78,271,0.4209
1,2026-05-19 01:29:22,ft06,a2c,11,103,421,0.3188
1,2026-05-19 01:29:22,ft06,a2c,12,101,409,0.3251
1,2026-05-19 01:29:22,ft06,a2c,13,83,301,0.3956
1,2026-05-19 01:29:22,ft06,a2c,14,102,415,0.3219
1,2026-05-19 01:29:22,ft06,a2c,15,103,421,0.3188
1,2026-05-19 01:29:22,ft06,a2c,16,70,223,0.469
1,2026-05-19 01:29:22,ft06,a2c,17,104,427,0.3157
1,2026-05-19 01:29:22,ft06,a2c,18,88,331,0.3731
1,2026-05-19 01:29:22,ft06,a2c,19,69,217,0.4758
1,2026-05-19 01:29:22,ft06,a2c,20,97,385,0.3385
1,2026-05-19 01:29:22,ft06,a2c,21,95,373,0.3456
1,2026-05-19 01:29:22,ft06,a2c,22,94,367,0.3493
1,2026-05-19 01:29:22,ft06,a2c,23,74,247,0.4437
1,2026-05-19 01:29:22,ft06,a2c,24,93,361,0.353
1,2026-05-19 01:29:22,ft06,a2c,25,89,337,0.3689
1,2026-05-19 01:29:22,ft06,a2c,26,75,253,0.4378
1,2026-05-19 01:29:22,ft06,a2c,27,71,229,0.4624
1,2026-05-19 01:29:22,ft06,a2c,28,84,307,0.3909
1,2026-05-19 01:29:22,ft06,a2c,29,67,205,0.49
1,2026-05-19 01:29:22,ft06,a2c,30,82,295,0.4004
1,2026-05-19 01:29:22,ft06,a2c_greedy,1,74,247,0.4437
1,2026-05-19 01:29:22,ft06,fifo,1,152,715,0.216
1,2026-05-19 01:29:22,ft06,spt,1,109,457,0.3012
1,2026-05-19 01:29:22,ft06,edd,1,101,409,0.3251
1,2026-05-19 01:29:22,ft06,lpt,1,129,577,0.2545
1,2026-05-19 01:29:22,ft06,random,1,93,361,0.353
1,2026-05-19 01:29:22,ft06,random,2,92,355,0.3569
1,2026-05-19 01:29:22,ft06,random,3,107,445,0.3069
1,2026-05-19 01:29:22,ft06,random,4,101,409,0.3251
1,2026-05-19 01:29:22,ft06,random,5,84,307,0.3909
1,2026-05-19 01:29:22,ft06,random,6,127,565,0.2585
1,2026-05-19 01:29:22,ft06,random,7,104,427,0.3157
1,2026-05-19 01:29:22,ft06,random,8,111,469,0.2958
1,2026-05-19 01:29:22,ft06,random,9,118,511,0.2782
1,2026-05-19 01:29:22,ft06,random,10,108,451,0.304
1,2026-05-19 01:29:22,ft06,random,11,70,223,0.469
1,2026-05-19 01:29:22,ft06,random,12,102,415,0.3219
1,2026-05-19 01:29:22,ft06,random,13,118,511,0.2782
1,2026-05-19 01:29:22,ft06,random,14,92,355,0.3569
1,2026-05-19 01:29:22,ft06,random,15,112,475,0.2932
1,2026-05-19 01:29:22,ft06,random,16,94,367,0.3493
1,2026-05-19 01:29:22,ft06,random,17,98,391,0.335
1,2026-05-19 01:29:22,ft06,random,18,91,349,0.3608
1,2026-05-19 01:29:22,ft06,random,19,79,277,0.4156
1,2026-05-19 01:29:22,ft06,random,20,87,325,0.3774
1,2026-05-19 01:29:22,ft06,random,21,106,439,0.3097
1,2026-05-19 01:29:22,ft06,random,22,81,289,0.4053
