run_id,trained_at,instance,algo,job,machine,op_index,start,end,duration
1,2026-05-26 20:49:32,5x5,fifo,0,0,0,0,7,7
1,2026-05-26 20:49:32,5x5,fifo,0,1,1,7,10,3
1,2026-05-26 20:49:32,5x5,fifo,0,2,2,10,15,5
1,2026-05-26 20:49:32,5x5,fifo,0,3,3,15,17,2
1,2026-05-26 20:49:32,5x5,fifo,0,4,4,17,23,6
1,2026-05-26 20:49:32,5x5,fifo,1,1,0,10,15,5
1,2026-05-26 20:49:32,5x5,fifo,1,0,1,15,19,4
1,2026-05-26 20:49:32,5x5,fifo,1,4,2,23,26,3
1,2026-05-26 20:49:32,5x5,fifo,1,3,3,26,33,7
1,2026-05-26 20:49:32,5x5,fifo,1,2,4,33,35,2
1,2026-05-26 20:49:32,5x5,fifo,2,2,0,35,39,4
1,2026-05-26 20:49:32,5x5,fifo,2,3,1,39,45,6
1,2026-05-26 20:49:32,5x5,fifo,2,1,2,45,47,2
1,2026-05-26 20:49:32,5x5,fifo,2,4,3,47,52,5
1,2026-05-26 20:49:32,5x5,fifo,2,0,4,52,55,3
1,2026-05-26 20:49:32,5x5,fifo,3,3,0,45,48,3
1,2026-05-26 20:49:32,5x5,fifo,3,4,1,52,56,4
1,2026-05-26 20:49:32,5x5,fifo,3,0,2,56,62,6
1,2026-05-26 20:49:32,5x5,fifo,3,2,3,62,66,4
1,2026-05-26 20:49:32,5x5,fifo,3,1,4,66,71,5
1,2026-05-26 20:49:32,5x5,fifo,4,4,0,56,62,6
1,2026-05-26 20:49:32,5x5,fifo,4,2,1,66,71,5
1,2026-05-26 20:49:32,5x5,fifo,4,3,2,71,74,3
1,2026-05-26 20:49:32,5x5,fifo,4,0,3,74,78,4
1,2026-05-26 20:49:32,5x5,fifo,4,1,4,78,85,7
