run_id,trained_at,instance,algo,job,machine,op_index,start,end,duration
1,2026-05-19 01:29:22,ft06,a2c,5,1,0,0,3,3
1,2026-05-19 01:29:22,ft06,a2c,0,2,0,0,1,1
1,2026-05-19 01:29:22,ft06,a2c,0,0,1,1,4,3
1,2026-05-19 01:29:22,ft06,a2c,5,3,1,3,6,3
1,2026-05-19 01:29:22,ft06,a2c,2,2,0,1,6,5
1,2026-05-19 01:29:22,ft06,a2c,5,5,2,6,15,9
1,2026-05-19 01:29:22,ft06,a2c,4,2,0,6,15,9
1,2026-05-19 01:29:22,ft06,a2c,3,1,0,3,8,5
1,2026-05-19 01:29:22,ft06,a2c,3,0,1,8,13,5
1,2026-05-19 01:29:22,ft06,a2c,3,2,2,15,20,5
1,2026-05-19 01:29:22,ft06,a2c,2,3,1,6,10,4
1,2026-05-19 01:29:22,ft06,a2c,4,1,1,15,18,3
1,2026-05-19 01:29:22,ft06,a2c,1,1,0,18,26,8
1,2026-05-19 01:29:22,ft06,a2c,1,2,1,26,31,5
1,2026-05-19 01:29:22,ft06,a2c,2,5,2,15,23,8
1,2026-05-19 01:29:22,ft06,a2c,0,1,2,26,32,6
1,2026-05-19 01:29:22,ft06,a2c,5,0,3,15,25,10
1,2026-05-19 01:29:22,ft06,a2c,3,3,3,20,23,3
1,2026-05-19 01:29:22,ft06,a2c,2,0,3,25,34,9
1,2026-05-19 01:29:22,ft06,a2c,4,4,2,18,23,5
1,2026-05-19 01:29:22,ft06,a2c,1,4,2,31,41,10
1,2026-05-19 01:29:22,ft06,a2c,4,5,3,23,27,4
1,2026-05-19 01:29:22,ft06,a2c,5,4,4,41,45,4
1,2026-05-19 01:29:22,ft06,a2c,2,1,4,34,35,1
1,2026-05-19 01:29:22,ft06,a2c,0,3,3,32,39,7
1,2026-05-19 01:29:22,ft06,a2c,1,5,3,41,51,10
1,2026-05-19 01:29:22,ft06,a2c,0,5,4,51,54,3
1,2026-05-19 01:29:22,ft06,a2c,4,0,4,34,37,3
1,2026-05-19 01:29:22,ft06,a2c,4,3,5,39,40,1
1,2026-05-19 01:29:22,ft06,a2c,5,2,5,45,46,1
1,2026-05-19 01:29:22,ft06,a2c,3,4,4,45,53,8
1,2026-05-19 01:29:22,ft06,a2c,3,5,5,54,63,9
1,2026-05-19 01:29:22,ft06,a2c,0,4,5,54,60,6
1,2026-05-19 01:29:22,ft06,a2c,1,0,4,51,61,10
1,2026-05-19 01:29:22,ft06,a2c,1,3,5,61,65,4
1,2026-05-19 01:29:22,ft06,a2c,2,4,5,60,67,7
2,2026-05-19 01:31:22,ft06,a2c,5,1,0,0,3,3
2,2026-05-19 01:31:22,ft06,a2c,0,2,0,0,1,1
2,2026-05-19 01:31:22,ft06,a2c,4,2,0,1,10,9
2,2026-05-19 01:31:22,ft06,a2c,2,2,0,10,15,5
2,2026-05-19 01:31:22,ft06,a2c,3,1,0,3,8,5
2,2026-05-19 01:31:22,ft06,a2c,0,0,1,1,4,3
2,2026-05-19 01:31:22,ft06,a2c,3,0,1,8,13,5
2,2026-05-19 01:31:22,ft06,a2c,5,3,1,3,6,3
2,2026-05-19 01:31:22,ft06,a2c,5,5,2,6,15,9
2,2026-05-19 01:31:22,ft06,a2c,4,1,1,10,13,3
2,2026-05-19 01:31:22,ft06,a2c,2,3,1,15,19,4
2,2026-05-19 01:31:22,ft06,a2c,4,4,2,13,18,5
2,2026-05-19 01:31:22,ft06,a2c,1,1,0,13,21,8
2,2026-05-19 01:31:22,ft06,a2c,3,2,2,15,20,5
2,2026-05-19 01:31:22,ft06,a2c,5,0,3,15,25,10
2,2026-05-19 01:31:22,ft06,a2c,0,1,2,21,27,6
2,2026-05-19 01:31:22,ft06,a2c,2,5,2,19,27,8
2,2026-05-19 01:31:22,ft06,a2c,1,2,1,21,26,5
2,2026-05-19 01:31:22,ft06,a2c,2,0,3,27,36,9
2,2026-05-19 01:31:22,ft06,a2c,3,3,3,20,23,3
2,2026-05-19 01:31:22,ft06,a2c,1,4,2,26,36,10
2,2026-05-19 01:31:22,ft06,a2c,1,5,3,36,46,10
2,2026-05-19 01:31:22,ft06,a2c,0,3,3,27,34,7
2,2026-05-19 01:31:22,ft06,a2c,3,4,4,36,44,8
2,2026-05-19 01:31:22,ft06,a2c,3,5,5,46,55,9
2,2026-05-19 01:31:22,ft06,a2c,4,5,3,55,59,4
2,2026-05-19 01:31:22,ft06,a2c,1,0,4,46,56,10
2,2026-05-19 01:31:22,ft06,a2c,5,4,4,44,48,4
2,2026-05-19 01:31:22,ft06,a2c,1,3,5,56,60,4
2,2026-05-19 01:31:22,ft06,a2c,4,0,4,59,62,3
2,2026-05-19 01:31:22,ft06,a2c,4,3,5,62,63,1
2,2026-05-19 01:31:22,ft06,a2c,2,1,4,36,37,1
2,2026-05-19 01:31:22,ft06,a2c,2,4,5,48,55,7
2,2026-05-19 01:31:22,ft06,a2c,5,2,5,48,49,1
2,2026-05-19 01:31:22,ft06,a2c,0,5,4,59,62,3
2,2026-05-19 01:31:22,ft06,a2c,0,4,5,62,68,6
3,2026-05-19 01:41:54,ft06,a2c,5,1,0,0,3,3
3,2026-05-19 01:41:54,ft06,a2c,5,3,1,3,6,3
3,2026-05-19 01:41:54,ft06,a2c,3,1,0,3,8,5
3,2026-05-19 01:41:54,ft06,a2c,2,2,0,0,5,5
3,2026-05-19 01:41:54,ft06,a2c,5,5,2,6,15,9
3,2026-05-19 01:41:54,ft06,a2c,0,2,0,5,6,1
3,2026-05-19 01:41:54,ft06,a2c,2,3,1,6,10,4
3,2026-05-19 01:41:54,ft06,a2c,3,0,1,8,13,5
3,2026-05-19 01:41:54,ft06,a2c,5,0,3,15,25,10
3,2026-05-19 01:41:54,ft06,a2c,1,1,0,8,16,8
3,2026-05-19 01:41:54,ft06,a2c,4,2,0,6,15,9
3,2026-05-19 01:41:54,ft06,a2c,1,2,1,16,21,5
3,2026-05-19 01:41:54,ft06,a2c,3,2,2,21,26,5
3,2026-05-19 01:41:54,ft06,a2c,1,4,2,21,31,10
3,2026-05-19 01:41:54,ft06,a2c,0,0,1,25,28,3
3,2026-05-19 01:41:54,ft06,a2c,4,1,1,16,19,3
3,2026-05-19 01:41:54,ft06,a2c,2,5,2,15,23,8
3,2026-05-19 01:41:54,ft06,a2c,3,3,3,26,29,3
3,2026-05-19 01:41:54,ft06,a2c,2,0,3,28,37,9
3,2026-05-19 01:41:54,ft06,a2c,1,5,3,31,41,10
3,2026-05-19 01:41:54,ft06,a2c,5,4,4,31,35,4
3,2026-05-19 01:41:54,ft06,a2c,5,2,5,35,36,1
3,2026-05-19 01:41:54,ft06,a2c,0,1,2,28,34,6
3,2026-05-19 01:41:54,ft06,a2c,4,4,2,35,40,5
3,2026-05-19 01:41:54,ft06,a2c,2,1,4,37,38,1
3,2026-05-19 01:41:54,ft06,a2c,4,5,3,41,45,4
3,2026-05-19 01:41:54,ft06,a2c,3,4,4,40,48,8
3,2026-05-19 01:41:54,ft06,a2c,2,4,5,48,55,7
3,2026-05-19 01:41:54,ft06,a2c,0,3,3,34,41,7
3,2026-05-19 01:41:54,ft06,a2c,4,0,4,45,48,3
3,2026-05-19 01:41:54,ft06,a2c,1,0,4,48,58,10
3,2026-05-19 01:41:54,ft06,a2c,0,5,4,45,48,3
3,2026-05-19 01:41:54,ft06,a2c,3,5,5,48,57,9
3,2026-05-19 01:41:54,ft06,a2c,4,3,5,48,49,1
3,2026-05-19 01:41:54,ft06,a2c,0,4,5,55,61,6
3,2026-05-19 01:41:54,ft06,a2c,1,3,5,58,62,4
1,2026-05-19 01:50:54,ft06,a2c,2,2,0,0,5,5
1,2026-05-19 01:50:54,ft06,a2c,5,1,0,0,3,3
1,2026-05-19 01:50:54,ft06,a2c,3,1,0,3,8,5
1,2026-05-19 01:50:54,ft06,a2c,5,3,1,3,6,3
1,2026-05-19 01:50:54,ft06,a2c,0,2,0,5,6,1
1,2026-05-19 01:50:54,ft06,a2c,4,2,0,6,15,9
1,2026-05-19 01:50:54,ft06,a2c,2,3,1,6,10,4
1,2026-05-19 01:50:54,ft06,a2c,1,1,0,8,16,8
1,2026-05-19 01:50:54,ft06,a2c,0,0,1,6,9,3
1,2026-05-19 01:50:54,ft06,a2c,3,0,1,9,14,5
1,2026-05-19 01:50:54,ft06,a2c,1,2,1,16,21,5
1,2026-05-19 01:50:54,ft06,a2c,3,2,2,21,26,5
1,2026-05-19 01:50:54,ft06,a2c,2,5,2,10,18,8
1,2026-05-19 01:50:54,ft06,a2c,5,5,2,18,27,9
1,2026-05-19 01:50:54,ft06,a2c,4,1,1,16,19,3
1,2026-05-19 01:50:54,ft06,a2c,4,4,2,19,24,5
1,2026-05-19 01:50:54,ft06,a2c,5,0,3,27,37,10
1,2026-05-19 01:50:54,ft06,a2c,2,0,3,37,46,9
1,2026-05-19 01:50:54,ft06,a2c,0,1,2,19,25,6
1,2026-05-19 01:50:54,ft06,a2c,4,5,3,27,31,4
1,2026-05-19 01:50:54,ft06,a2c,3,3,3,26,29,3
1,2026-05-19 01:50:54,ft06,a2c,1,4,2,24,34,10
1,2026-05-19 01:50:54,ft06,a2c,4,0,4,46,49,3
1,2026-05-19 01:50:54,ft06,a2c,3,4,4,34,42,8
1,2026-05-19 01:50:54,ft06,a2c,5,4,4,42,46,4
1,2026-05-19 01:50:54,ft06,a2c,5,2,5,46,47,1
1,2026-05-19 01:50:54,ft06,a2c,1,5,3,34,44,10
1,2026-05-19 01:50:54,ft06,a2c,0,3,3,29,36,7
1,2026-05-19 01:50:54,ft06,a2c,3,5,5,44,53,9
1,2026-05-19 01:50:54,ft06,a2c,2,1,4,46,47,1
1,2026-05-19 01:50:54,ft06,a2c,4,3,5,49,50,1
1,2026-05-19 01:50:54,ft06,a2c,2,4,5,47,54,7
1,2026-05-19 01:50:54,ft06,a2c,0,5,4,53,56,3
1,2026-05-19 01:50:54,ft06,a2c,0,4,5,56,62,6
1,2026-05-19 01:50:54,ft06,a2c,1,0,4,49,59,10
1,2026-05-19 01:50:54,ft06,a2c,1,3,5,59,63,4
2,2026-05-19 01:54:45,ft06,a2c,5,1,0,0,3,3
2,2026-05-19 01:54:45,ft06,a2c,5,3,1,3,6,3
2,2026-05-19 01:54:45,ft06,a2c,0,2,0,0,1,1
2,2026-05-19 01:54:45,ft06,a2c,3,1,0,3,8,5
2,2026-05-19 01:54:45,ft06,a2c,0,0,1,1,4,3
2,2026-05-19 01:54:45,ft06,a2c,2,2,0,1,6,5
2,2026-05-19 01:54:45,ft06,a2c,4,2,0,6,15,9
2,2026-05-19 01:54:45,ft06,a2c,3,0,1,8,13,5
2,2026-05-19 01:54:45,ft06,a2c,1,1,0,8,16,8
2,2026-05-19 01:54:45,ft06,a2c,5,5,2,6,15,9
2,2026-05-19 01:54:45,ft06,a2c,4,1,1,16,19,3
2,2026-05-19 01:54:45,ft06,a2c,3,2,2,15,20,5
2,2026-05-19 01:54:45,ft06,a2c,0,1,2,19,25,6
2,2026-05-19 01:54:45,ft06,a2c,2,3,1,6,10,4
2,2026-05-19 01:54:45,ft06,a2c,2,5,2,15,23,8
2,2026-05-19 01:54:45,ft06,a2c,4,4,2,19,24,5
2,2026-05-19 01:54:45,ft06,a2c,5,0,3,15,25,10
2,2026-05-19 01:54:45,ft06,a2c,1,2,1,20,25,5
2,2026-05-19 01:54:45,ft06,a2c,0,3,3,25,32,7
2,2026-05-19 01:54:45,ft06,a2c,4,5,3,24,28,4
2,2026-05-19 01:54:45,ft06,a2c,4,0,4,28,31,3
2,2026-05-19 01:54:45,ft06,a2c,3,3,3,32,35,3
2,2026-05-19 01:54:45,ft06,a2c,5,4,4,25,29,4
2,2026-05-19 01:54:45,ft06,a2c,2,0,3,31,40,9
2,2026-05-19 01:54:45,ft06,a2c,4,3,5,35,36,1
2,2026-05-19 01:54:45,ft06,a2c,0,5,4,32,35,3
2,2026-05-19 01:54:45,ft06,a2c,1,4,2,29,39,10
2,2026-05-19 01:54:45,ft06,a2c,5,2,5,29,30,1
2,2026-05-19 01:54:45,ft06,a2c,2,1,4,40,41,1
2,2026-05-19 01:54:45,ft06,a2c,3,4,4,39,47,8
2,2026-05-19 01:54:45,ft06,a2c,1,5,3,39,49,10
2,2026-05-19 01:54:45,ft06,a2c,2,4,5,47,54,7
2,2026-05-19 01:54:45,ft06,a2c,0,4,5,54,60,6
2,2026-05-19 01:54:45,ft06,a2c,1,0,4,49,59,10
2,2026-05-19 01:54:45,ft06,a2c,3,5,5,49,58,9
2,2026-05-19 01:54:45,ft06,a2c,1,3,5,59,63,4
3,2026-05-19 14:22:15,ft06,a2c,5,1,0,0,3,3
3,2026-05-19 14:22:15,ft06,a2c,5,3,1,3,6,3
3,2026-05-19 14:22:15,ft06,a2c,0,2,0,0,1,1
3,2026-05-19 14:22:15,ft06,a2c,3,1,0,3,8,5
