run_id,trained_at,instance,algo,job,machine,op_index,start,end,duration
3,2026-04-18 10:23:27,ft06,fifo,0,2,0,0,1,1
3,2026-04-18 10:23:27,ft06,fifo,0,0,1,1,4,3
3,2026-04-18 10:23:27,ft06,fifo,0,1,2,4,10,6
3,2026-04-18 10:23:27,ft06,fifo,0,3,3,10,17,7
3,2026-04-18 10:23:27,ft06,fifo,0,5,4,17,20,3
3,2026-04-18 10:23:27,ft06,fifo,0,4,5,20,26,6
3,2026-04-18 10:23:27,ft06,fifo,1,1,0,10,18,8
3,2026-04-18 10:23:27,ft06,fifo,1,2,1,18,23,5
3,2026-04-18 10:23:27,ft06,fifo,1,4,2,26,36,10
3,2026-04-18 10:23:27,ft06,fifo,1,5,3,36,46,10
3,2026-04-18 10:23:27,ft06,fifo,1,0,4,46,56,10
3,2026-04-18 10:23:27,ft06,fifo,1,3,5,56,60,4
3,2026-04-18 10:23:27,ft06,fifo,2,2,0,23,28,5
3,2026-04-18 10:23:27,ft06,fifo,2,3,1,60,64,4
3,2026-04-18 10:23:27,ft06,fifo,2,5,2,64,72,8
3,2026-04-18 10:23:27,ft06,fifo,2,0,3,72,81,9
3,2026-04-18 10:23:27,ft06,fifo,2,1,4,81,82,1
3,2026-04-18 10:23:27,ft06,fifo,2,4,5,82,89,7
3,2026-04-18 10:23:27,ft06,fifo,3,1,0,82,87,5
3,2026-04-18 10:23:27,ft06,fifo,3,0,1,87,92,5
3,2026-04-18 10:23:27,ft06,fifo,3,2,2,92,97,5
3,2026-04-18 10:23:27,ft06,fifo,3,3,3,97,100,3
3,2026-04-18 10:23:27,ft06,fifo,3,4,4,100,108,8
3,2026-04-18 10:23:27,ft06,fifo,3,5,5,108,117,9
3,2026-04-18 10:23:27,ft06,fifo,4,2,0,97,106,9
3,2026-04-18 10:23:27,ft06,fifo,4,1,1,106,109,3
3,2026-04-18 10:23:27,ft06,fifo,4,4,2,109,114,5
3,2026-04-18 10:23:27,ft06,fifo,4,5,3,117,121,4
3,2026-04-18 10:23:27,ft06,fifo,4,0,4,121,124,3
3,2026-04-18 10:23:27,ft06,fifo,4,3,5,124,125,1
3,2026-04-18 10:23:27,ft06,fifo,5,1,0,109,112,3
3,2026-04-18 10:23:27,ft06,fifo,5,3,1,125,128,3
3,2026-04-18 10:23:27,ft06,fifo,5,5,2,128,137,9
3,2026-04-18 10:23:27,ft06,fifo,5,0,3,137,147,10
3,2026-04-18 10:23:27,ft06,fifo,5,4,4,147,151,4
3,2026-04-18 10:23:27,ft06,fifo,5,2,5,151,152,1
4,2026-04-18 12:02:12,ft06,fifo,0,2,0,0,1,1
4,2026-04-18 12:02:12,ft06,fifo,0,0,1,1,4,3
4,2026-04-18 12:02:12,ft06,fifo,0,1,2,4,10,6
4,2026-04-18 12:02:12,ft06,fifo,0,3,3,10,17,7
4,2026-04-18 12:02:12,ft06,fifo,0,5,4,17,20,3
4,2026-04-18 12:02:12,ft06,fifo,0,4,5,20,26,6
4,2026-04-18 12:02:12,ft06,fifo,1,1,0,10,18,8
4,2026-04-18 12:02:12,ft06,fifo,1,2,1,18,23,5
4,2026-04-18 12:02:12,ft06,fifo,1,4,2,26,36,10
4,2026-04-18 12:02:12,ft06,fifo,1,5,3,36,46,10
4,2026-04-18 12:02:12,ft06,fifo,1,0,4,46,56,10
4,2026-04-18 12:02:12,ft06,fifo,1,3,5,56,60,4
4,2026-04-18 12:02:12,ft06,fifo,2,2,0,23,28,5
4,2026-04-18 12:02:12,ft06,fifo,2,3,1,60,64,4
4,2026-04-18 12:02:12,ft06,fifo,2,5,2,64,72,8
4,2026-04-18 12:02:12,ft06,fifo,2,0,3,72,81,9
4,2026-04-18 12:02:12,ft06,fifo,2,1,4,81,82,1
4,2026-04-18 12:02:12,ft06,fifo,2,4,5,82,89,7
4,2026-04-18 12:02:12,ft06,fifo,3,1,0,82,87,5
4,2026-04-18 12:02:12,ft06,fifo,3,0,1,87,92,5
4,2026-04-18 12:02:12,ft06,fifo,3,2,2,92,97,5
4,2026-04-18 12:02:12,ft06,fifo,3,3,3,97,100,3
4,2026-04-18 12:02:12,ft06,fifo,3,4,4,100,108,8
4,2026-04-18 12:02:12,ft06,fifo,3,5,5,108,117,9
4,2026-04-18 12:02:12,ft06,fifo,4,2,0,97,106,9
4,2026-04-18 12:02:12,ft06,fifo,4,1,1,106,109,3
4,2026-04-18 12:02:12,ft06,fifo,4,4,2,109,114,5
4,2026-04-18 12:02:12,ft06,fifo,4,5,3,117,121,4
4,2026-04-18 12:02:12,ft06,fifo,4,0,4,121,124,3
4,2026-04-18 12:02:12,ft06,fifo,4,3,5,124,125,1
4,2026-04-18 12:02:12,ft06,fifo,5,1,0,109,112,3
4,2026-04-18 12:02:12,ft06,fifo,5,3,1,125,128,3
4,2026-04-18 12:02:12,ft06,fifo,5,5,2,128,137,9
4,2026-04-18 12:02:12,ft06,fifo,5,0,3,137,147,10
4,2026-04-18 12:02:12,ft06,fifo,5,4,4,147,151,4
4,2026-04-18 12:02:12,ft06,fifo,5,2,5,151,152,1
5,2026-04-18 12:04:44,ft06,fifo,0,2,0,0,1,1
5,2026-04-18 12:04:44,ft06,fifo,0,0,1,1,4,3
5,2026-04-18 12:04:44,ft06,fifo,0,1,2,4,10,6
5,2026-04-18 12:04:44,ft06,fifo,0,3,3,10,17,7
5,2026-04-18 12:04:44,ft06,fifo,0,5,4,17,20,3
5,2026-04-18 12:04:44,ft06,fifo,0,4,5,20,26,6
5,2026-04-18 12:04:44,ft06,fifo,1,1,0,10,18,8
5,2026-04-18 12:04:44,ft06,fifo,1,2,1,18,23,5
5,2026-04-18 12:04:44,ft06,fifo,1,4,2,26,36,10
5,2026-04-18 12:04:44,ft06,fifo,1,5,3,36,46,10
5,2026-04-18 12:04:44,ft06,fifo,1,0,4,46,56,10
5,2026-04-18 12:04:44,ft06,fifo,1,3,5,56,60,4
5,2026-04-18 12:04:44,ft06,fifo,2,2,0,23,28,5
5,2026-04-18 12:04:44,ft06,fifo,2,3,1,60,64,4
5,2026-04-18 12:04:44,ft06,fifo,2,5,2,64,72,8
5,2026-04-18 12:04:44,ft06,fifo,2,0,3,72,81,9
5,2026-04-18 12:04:44,ft06,fifo,2,1,4,81,82,1
5,2026-04-18 12:04:44,ft06,fifo,2,4,5,82,89,7
5,2026-04-18 12:04:44,ft06,fifo,3,1,0,82,87,5
