run_id,trained_at,instance,algo,job,machine,op_index,start,end,duration
1,2026-05-19 23:14:31,ft10,edd,4,2,0,0,14,14
1,2026-05-19 23:14:31,ft10,edd,4,0,1,14,20,6
1,2026-05-19 23:14:31,ft10,edd,4,1,2,20,42,22
1,2026-05-19 23:14:31,ft10,edd,4,5,3,42,103,61
1,2026-05-19 23:14:31,ft10,edd,4,3,4,103,129,26
1,2026-05-19 23:14:31,ft10,edd,4,4,5,129,198,69
1,2026-05-19 23:14:31,ft10,edd,4,8,6,198,219,21
1,2026-05-19 23:14:31,ft10,edd,4,7,7,219,268,49
1,2026-05-19 23:14:31,ft10,edd,4,9,8,268,340,72
1,2026-05-19 23:14:31,ft10,edd,4,6,9,340,393,53
1,2026-05-19 23:14:31,ft10,edd,0,0,0,20,49,29
1,2026-05-19 23:14:31,ft10,edd,0,1,1,49,127,78
1,2026-05-19 23:14:31,ft10,edd,0,2,2,127,136,9
1,2026-05-19 23:14:31,ft10,edd,0,3,3,136,172,36
1,2026-05-19 23:14:31,ft10,edd,0,4,4,198,247,49
1,2026-05-19 23:14:31,ft10,edd,0,5,5,247,258,11
1,2026-05-19 23:14:31,ft10,edd,0,6,6,393,455,62
1,2026-05-19 23:14:31,ft10,edd,6,1,0,127,173,46
1,2026-05-19 23:14:31,ft10,edd,5,2,0,136,220,84
1,2026-05-19 23:14:31,ft10,edd,1,0,0,49,92,43
1,2026-05-19 23:14:31,ft10,edd,7,0,0,92,123,31
1,2026-05-19 23:14:31,ft10,edd,9,1,0,173,258,85
1,2026-05-19 23:14:31,ft10,edd,1,2,1,220,310,90
1,2026-05-19 23:14:31,ft10,edd,2,1,0,258,349,91
1,2026-05-19 23:14:31,ft10,edd,0,7,7,455,511,56
1,2026-05-19 23:14:31,ft10,edd,0,8,8,511,555,44
1,2026-05-19 23:14:31,ft10,edd,0,9,9,555,576,21
1,2026-05-19 23:14:31,ft10,edd,6,0,1,173,210,37
1,2026-05-19 23:14:31,ft10,edd,6,3,2,210,271,61
1,2026-05-19 23:14:31,ft10,edd,6,2,3,310,323,13
1,2026-05-19 23:14:31,ft10,edd,8,0,0,210,286,76
1,2026-05-19 23:14:31,ft10,edd,6,6,4,455,487,32
1,2026-05-19 23:14:31,ft10,edd,7,1,1,349,435,86
1,2026-05-19 23:14:31,ft10,edd,5,1,1,435,437,2
1,2026-05-19 23:14:31,ft10,edd,3,1,0,437,518,81
1,2026-05-19 23:14:31,ft10,edd,1,4,2,310,385,75
1,2026-05-19 23:14:31,ft10,edd,1,9,3,576,587,11
1,2026-05-19 23:14:31,ft10,edd,9,0,1,286,299,13
1,2026-05-19 23:14:31,ft10,edd,9,2,2,323,384,61
1,2026-05-19 23:14:31,ft10,edd,6,5,5,487,519,32
1,2026-05-19 23:14:31,ft10,edd,6,8,6,555,612,57
1,2026-05-19 23:14:31,ft10,edd,9,6,3,487,494,7
1,2026-05-19 23:14:31,ft10,edd,6,9,7,612,672,60
1,2026-05-19 23:14:31,ft10,edd,6,4,8,672,714,42
1,2026-05-19 23:14:31,ft10,edd,6,7,9,714,784,70
1,2026-05-19 23:14:31,ft10,edd,8,1,1,518,587,69
1,2026-05-19 23:14:31,ft10,edd,2,0,1,349,434,85
1,2026-05-19 23:14:31,ft10,edd,2,3,2,434,473,39
1,2026-05-19 23:14:31,ft10,edd,2,2,3,473,547,74
1,2026-05-19 23:14:31,ft10,edd,2,8,4,612,702,90
1,2026-05-19 23:14:31,ft10,edd,5,5,2,519,571,52
1,2026-05-19 23:14:31,ft10,edd,7,2,2,547,593,46
1,2026-05-19 23:14:31,ft10,edd,9,8,4,702,766,64
1,2026-05-19 23:14:31,ft10,edd,1,3,4,587,656,69
1,2026-05-19 23:14:31,ft10,edd,1,1,5,656,684,28
1,2026-05-19 23:14:31,ft10,edd,1,6,6,684,730,46
1,2026-05-19 23:14:31,ft10,edd,1,5,7,730,776,46
1,2026-05-19 23:14:31,ft10,edd,1,7,8,784,856,72
1,2026-05-19 23:14:31,ft10,edd,1,8,9,856,886,30
1,2026-05-19 23:14:31,ft10,edd,2,5,5,776,786,10
1,2026-05-19 23:14:31,ft10,edd,5,3,3,656,751,95
1,2026-05-19 23:14:31,ft10,edd,2,7,6,856,868,12
1,2026-05-19 23:14:31,ft10,edd,7,5,3,786,860,74
1,2026-05-19 23:14:31,ft10,edd,5,8,4,886,934,48
1,2026-05-19 23:14:31,ft10,edd,2,6,7,868,957,89
1,2026-05-19 23:14:31,ft10,edd,2,9,8,957,1002,45
1,2026-05-19 23:14:31,ft10,edd,2,4,9,1002,1035,33
1,2026-05-19 23:14:31,ft10,edd,8,3,2,751,827,76
1,2026-05-19 23:14:31,ft10,edd,9,9,5,1002,1078,76
1,2026-05-19 23:14:31,ft10,edd,3,2,1,593,688,95
1,2026-05-19 23:14:31,ft10,edd,5,9,5,1078,1150,72
1,2026-05-19 23:14:31,ft10,edd,7,4,4,1035,1067,32
1,2026-05-19 23:14:31,ft10,edd,3,0,2,688,759,71
1,2026-05-19 23:14:31,ft10,edd,3,4,3,1067,1166,99
1,2026-05-19 23:14:31,ft10,edd,8,5,3,860,911,51
1,2026-05-19 23:14:31,ft10,edd,8,2,4,911,996,85
1,2026-05-19 23:14:31,ft10,edd,8,9,5,1150,1161,11
1,2026-05-19 23:14:31,ft10,edd,5,0,6,1150,1197,47
1,2026-05-19 23:14:31,ft10,edd,5,6,7,1197,1262,65
1,2026-05-19 23:14:31,ft10,edd,5,4,8,1262,1268,6
1,2026-05-19 23:14:31,ft10,edd,5,7,9,1268,1293,25
1,2026-05-19 23:14:31,ft10,edd,9,5,6,1078,1125,47
1,2026-05-19 23:14:31,ft10,edd,9,3,7,1125,1177,52
1,2026-05-19 23:14:31,ft10,edd,9,4,8,1268,1358,90
1,2026-05-19 23:14:31,ft10,edd,7,6,5,1262,1350,88
1,2026-05-19 23:14:31,ft10,edd,8,6,6,1350,1390,40
1,2026-05-19 23:14:31,ft10,edd,9,7,9,1358,1403,45
1,2026-05-19 23:14:31,ft10,edd,3,6,4,1390,1399,9
1,2026-05-19 23:14:31,ft10,edd,7,8,6,1350,1369,19
1,2026-05-19 23:14:31,ft10,edd,7,9,7,1369,1417,48
1,2026-05-19 23:14:31,ft10,edd,7,7,8,1417,1453,36
1,2026-05-19 23:14:31,ft10,edd,7,3,9,1453,1532,79
1,2026-05-19 23:14:31,ft10,edd,8,7,7,1453,1542,89
1,2026-05-19 23:14:31,ft10,edd,8,4,8,1542,1568,26
1,2026-05-19 23:14:31,ft10,edd,8,8,9,1568,1642,74
1,2026-05-19 23:14:31,ft10,edd,3,8,5,1642,1694,52
1,2026-05-19 23:14:31,ft10,edd,3,7,6,1694,1779,85
1,2026-05-19 23:14:31,ft10,edd,3,3,7,1779,1877,98
1,2026-05-19 23:14:31,ft10,edd,3,9,8,1877,1899,22
1,2026-05-19 23:14:31,ft10,edd,3,5,9,1899,1942,43
